"date_eastern","total_electricity_consumed","estimated_total_nuclear_electricity_generated"
2024-03-01,249372.077936439,232524.864
2024-03-02,216316.836539167,225502.8
2024-03-03,203922.694235,228230.304
2024-03-04,223507.581133333,232072.896
2024-03-05,235745.12896,232072.896
2024-03-06,238234.567165909,232072.896
2024-03-07,239682.432958333,230942.784
2024-03-08,243978.1815025,231846.912
2024-03-09,222026.482981667,232069.128
2024-03-10,207316.9678175,235839.768
2024-03-11,236101.979731667,235839.768
2024-03-12,227758.8658625,253332.912
2024-03-13,223023.237627045,257821.8
2024-03-14,232830.402823333,258709.632
2024-03-15,229563.449540833,244300.416
2024-03-16,211924.491083333,241531.368
2024-03-17,216237.0938725,258417.168
2024-03-18,250660.26782947,227098.416
2024-03-19,245666.061466667,232161.024
2024-03-20,238851.896882273,236087.4
2024-03-21,245916.706858333,237201.216
2024-03-22,251204.793815833,236908.752
2024-03-23,225621.164759242,236616.288
2024-03-24,220118.425081667,231443.16
2024-03-25,236591.951675,236031.36
2024-03-26,237813.283718333,235738.896
2024-03-27,245572.945194697,235446.432
2024-03-28,236641.370248333,235153.968
2024-03-29,221572.4681675,235153.968
2024-03-30,204419.218783333,234861.504
2024-03-31,162692.3171125,234569.04
